Ref	x	y	Connectivity	Point First Moment	Point Second Moment
983049	1.24	5.16	244	115.20014	82.891197
983050	1.24	5.2	269	131.98523	98.745598
983051	1.24	5.24	258	117.84138	83.568001
983052	1.24	5.28	238	93.102699	56.872002
983053	1.24	5.32	228	83.389168	47.502399
983054	1.24	5.36	219	74.208733	37.777599
983055	1.24	5.4	200	58.768185	23.524799
983056	1.24	5.44	179	46.988922	14.9984
983057	1.24	5.48	153	41.388813	13.384
983059	1.24	5.56	241	114.04466	70.736
983060	1.24	5.6	253	112.82687	66.112
983061	1.24	5.64	253	107.04154	59.937599
983062	1.24	5.68	251	100.87364	53.915199
983063	1.24	5.72	247	94.982964	48.672001
983064	1.24	5.76	243	88.497856	42.731201
983065	1.24	5.8	243	85.190964	39.4352
983066	1.24	5.84	241	81.150291	35.723202
983067	1.24	5.88	241	79.221191	34.001598
983068	1.24	5.92	260	86.263924	36.848
983069	1.24	5.96	430	439.03693	935.7392
983070	1.24	6	444	474.38684	1040.9856
983071	1.24	6.04	243	78.911758	34.075199
983072	1.24	6.08	235	78.057892	35.360001
983073	1.24	6.12	233	80.854286	39.060799
983074	1.24	6.16	233	84.477333	43.348801
983075	1.24	6.2	232	88.26947	47.9856
983076	1.24	6.24	232	93.976311	54.705601
983077	1.24	6.28	232	98.922691	60.209599
983078	1.24	6.32	231	104.93917	67.223999
983079	1.24	6.36	229	111.31284	74.912003
983080	1.24	6.4	225	118.26382	83.3936
983085	1.24	6.6	104	43.611366	27.625601
983086	1.24	6.64	182	145.63892	183.8288
983087	1.24	6.68	342	482.53427	1052.408
983088	1.24	6.72	237	254.80272	457.22079
983089	1.24	6.76	119	58.939407	44.348801
983093	1.24	6.92	56	19.161268	9.5200005
983094	1.24	6.96	64	24.614416	13.7424
983095	1.24	7	27	5.9395099	1.7312
983096	1.24	7.04	122	46.055771	22.236799
983097	1.24	7.08	140	49.332321	22.590401
983098	1.24	7.12	215	81.874825	40.316799
983099	1.24	7.16	217	80.37545	38.715199
983100	1.24	7.2	162	49.517242	19.7696
983101	1.24	7.24	141	39.438698	14.2912
983102	1.24	7.28	136	36.811031	13.0736
983103	1.24	7.32	134	35.556854	12.4656
983104	1.24	7.36	133	35.167522	12.48
983105	1.24	7.4	133	35.704964	13.1248
983106	1.24	7.44	134	37.18478	14.4752
983107	1.24	7.48	134	38.123543	15.3792
983108	1.24	7.52	138	41.564789	18.019199
983109	1.24	7.56	141	44.655117	20.534401
983110	1.24	7.6	159	54.966751	27.019199
983111	1.24	7.64	197	75.319725	38.248001
983112	1.24	7.68	226	91.852943	48.383999
983113	1.24	7.72	182	76.349548	43.209599
983114	1.24	7.76	148	67.077255	41.273602
1048584	1.28	5.12	209	93.102089	62.768002
1048585	1.28	5.16	217	89.114914	55.596802
1048586	1.28	5.2	245	106.78829	71.027199
1048587	1.28	5.24	230	88.319824	51.944
1048588	1.28	5.28	196	57.961826	24.448
1048589	1.28	5.32	182	47.71101	16.6448
1048590	1.28	5.36	173	42.742016	13.232
1048591	1.28	5.4	165	40.523712	12.0752
1048592	1.28	5.44	158	40.868656	12.7616
1048593	1.28	5.48	150	42.373661	14.2864
1048595	1.28	5.56	214	102.63988	62.616001
1048596	1.28	5.6	226	100.09044	56.753601
1048597	1.28	5.64	236	99.220131	53.332802
1048598	1.28	5.68	239	95.853226	49.156799
1048599	1.28	5.72	235	89.537338	43.737598
1048600	1.28	5.76	238	87.294296	40.855999
1048601	1.28	5.8	234	82.135612	36.68
1048602	1.28	5.84	235	80.193428	34.782398
1048603	1.28	5.88	233	77.306694	32.566399
1048604	1.28	5.92	251	83.852402	35.529598
1048605	1.28	5.96	428	432.6178	907.65442
1048606	1.28	6	442	470.89304	1020.136
1048607	1.28	6.04	234	77.957451	34.4576
1048608	1.28	6.08	229	78.982841	36.689602
1048609	1.28	6.12	229	81.513191	39.556801
1048610	1.28	6.16	228	84.608826	43.396801
1048611	1.28	6.2	226	86.842445	46.264
1048612	1.28	6.24	226	91.560692	51.551998
