Ref	x1	y1	x2	y2	Connectivity	Line Length
470	532548.783925	183646.448256	532960.447991	183900.052022	11	483.51025
471	532323.585929	183530.393563	532794.913219	183792.725629	8	539.41406
472	532571.255358	183675.623828	532577.265488	183558.348912	5	117.42882
473	532543.068654	183657.388289	532630.300523	183590.633501	5	109.84353
474	532612.008295	183601.543762	532798.825322	183678.398363	4	202.008
475	532708.264427	183746.1312	532817.654866	183429.39209	8	335.09689
476	532758.211581	183586.688488	532982.237138	183070.616672	8	562.59894
477	532740.540472	183589.113563	532762.740992	183598.956911	1	24.284863
478	532810.82743	183815.115636	532833.055397	183775.618109	2	45.32259
479	532826.456421	183781.237933	532846.809685	183768.396942	2	24.065462
480	532838.839254	183767.79295	532907.269939	183789.681389	2	71.8461
481	532411.696593	183400.519815	532820.202092	183548.10214	5	434.34695
482	532420.14458	183419.788898	532705.551235	183195.896947	4	362.74588
483	532468.070555	183288.522695	532792.861092	183514.746035	3	395.81042
484	532606.548409	183559.356739	532650.440517	183476.983667	3	93.337242
485	532619.308676	183526.604462	532627.238206	183609.608708	4	83.382149
486	532567.087105	183576.703398	532632.049753	183529.756598	4	80.15078
487	532319.10546	183440.943243	532579.700202	183577.230383	3	294.0813
488	532691.004424	182972.701974	532839.914144	183067.687656	2	176.62498
489	532655.483875	183248.950676	532793.216472	183024.521282	4	263.32266
490	532980.111006	183597.040814	533026.907326	183601.536855	2	47.011806
491	532980.888774	183598.775588	532997.942126	183535.767805	1	65.274788
492	532948.970195	183485.011804	533045.94493	183523.467543	3	104.32134
493	532882.00154	183616.560258	533022.747935	183353.217927	4	298.5946
494	532851.11962	183692.160301	532918.05361	183708.266348	2	68.84449
495	532845.279862	183719.83908	532859.5161	183661.444718	3	60.104675
496	532795.696864	183650.565417	532864.808334	183668.231221	2	71.333557
497	532784.077833	183702.622362	532798.741337	183648.432221	3	56.139023
498	532778.455497	183698.332789	532853.748882	183716.690184	2	77.498955
499	533126.981531	184343.351798	533236.94103	184128.252751	5	241.57544
500	532835.610266	183916.087636	533298.551877	184154.108856	5	520.54688
501	532781.105505	184010.249828	533459.094685	184343.719876	10	755.56042
502	533119.922963	184731.572266	533226.065455	184305.406173	5	439.18533
503	533108.699328	184263.839742	533290.13873	184332.317927	3	193.93173
504	533203.500097	184376.653856	533263.477163	184399.857242	3	64.308983
505	533248.380191	184404.776507	533301.369306	184360.851466	3	68.827721
506	533184.960385	184783.312202	533258.042309	184386.756872	5	403.23331
507	533017.909246	184465.48914	533313.224583	184499.685418	6	297.28864
508	532981.078765	184688.211145	533022.595887	184453.025899	8	238.82162
509	532874.864413	184332.687989	533030.590519	184469.275916	7	207.13977
510	532916.93514	184377.217299	532956.25388	184301.41917	1	85.389229
511	532979.212156	184685.732721	533312.519029	184749.741937	8	339.39749
512	533048.881759	184715.26251	533143.224751	184301.8201	7	424.06982
513	532593.913595	184428.026979	533055.832842	184714.683099	11	543.63696
514	532666.640209	184490.254905	532672.650339	184372.979989	5	117.42882
515	532638.453505	184472.019366	532725.685375	184405.264577	4	109.84353
516	532707.393146	184416.174838	532894.210173	184493.02944	4	202.008
517	532803.649278	184560.762277	532913.039717	184244.023167	9	335.09689
518	532884.448357	184243.450033	533002.988	184269.828409	3	121.43914
519	533001.360624	184271.268552	533018.030551	184217.979393	1	55.835659
520	532853.596432	184401.319564	533077.621989	183885.247749	9	562.59894
521	532835.925323	184403.74464	532858.125843	184413.587987	1	24.284863
522	532906.212281	184629.746713	532928.440249	184590.249186	2	45.32259
523	532921.841272	184595.86901	532942.194537	184583.028019	2	24.065462
524	532934.224105	184582.424026	533002.65479	184604.312466	2	71.8461
525	532579.486878	184248.319081	532915.586943	184362.733217	5	355.04062
526	532637.688968	184132.908686	532800.936086	184010.528024	5	204.02609
527	532627.410222	184103.554158	532888.245943	184329.377111	5	345.00909
528	532906.486242	184197.526206	532939.195758	184211.385546	1	35.524551
529	532701.93326	184373.987816	532745.825368	184291.614744	3	93.337242
530	532714.693527	184341.235539	532722.623057	184424.239785	4	83.382149
531	532662.471957	184391.334474	532727.434605	184344.387675	4	80.15078
532	532564.748392	184331.051265	532675.085054	184391.86146	3	125.98436
533	532750.868727	184063.581753	532906.016604	183843.177006	7	269.535
534	533075.495857	184411.671891	533122.292177	184416.167932	2	47.011806
535	533076.273625	184413.406665	533093.326978	184350.398881	1	65.274788
536	533044.355046	184299.642881	533141.329781	184338.09862	3	104.32134
537	532977.386391	184431.191335	533118.132786	184167.849003	3	298.5946
538	532946.504472	184506.791378	533013.438462	184522.897425	3	68.84449
539	532940.664713	184534.470157	532954.900952	184476.075795	3	60.104675
540	532891.081716	184465.196494	532960.193186	184482.862298	2	71.333557
541	532879.462684	184517.253439	532894.126188	184463.063297	3	56.139023
542	532873.840348	184512.963866	532949.133733	184531.321261	2	77.498955
543	532917.353772	184079.057405	532962.745749	183975.886969	2	112.71455
544	532065.2786	184514.06895	532635.210657	184438.436618	7	574.92853
545	532364.629597	184414.239317	532590.230088	184386.41984	1	227.30927
546	532489.874509	184162.462824	532652.784793	184210.349538	2	169.80252
547	532542.4661	184490.385692	532763.565425	183767.899229	12	755.56042
548	532030.38234	184165.122698	532543.133455	184254.228718	5	520.43597
549	532526.782394	184321.773294	532565.454237	184131.736438	2	193.93173
550	532455.856013	184306.221875	532469.199284	184243.312394	2	64.308983
551	532448.592493	184292.102419	532500.404605	184337.409821	2	68.827721
